id,mutation_count,balance_id,user_id,dated_at,size,PP,description,show,created_at,updated_at
166,166,1,2,17-12-11 0:00,16.3,5.43,spinazi schotel,1,17-12-29 23:14,17-12-29 23:14
167,167,1,2,17-12-11 0:00,11.09,11.09,pils,1,17-12-29 23:14,17-12-29 23:14
168,168,1,2,17-12-11 0:00,3.9,0.65,statie,1,17-12-29 23:14,17-12-29 23:14
169,169,1,2,17-12-11 0:00,19.16,4.79,kipburgers,1,17-12-29 23:14,17-12-29 23:14
170,170,1,2,17-12-11 0:00,8.4,8.4,3 pakjes peuken,1,17-12-29 23:14,17-12-29 23:14
171,171,1,2,17-12-11 0:00,11.2,11.2,4 pakjes peuken,1,17-12-29 23:14,17-12-29 23:14
172,172,1,3,17-12-12 0:00,7.5,7.5,tikkie,1,17-12-29 23:14,17-12-29 23:14
173,173,1,5,17-12-12 0:00,32.78,16.39,PILS,1,17-12-29 23:14,17-12-29 23:14
174,174,1,2,17-12-13 0:00,3.9,0.65,statiegeld,1,17-12-29 23:14,17-12-29 23:14
175,175,1,3,17-12-13 0:00,10,1.67,messer Scharfer,1,17-12-29 23:14,17-12-29 23:14
176,176,1,6,17-12-12 0:00,26.6,4.43,Lenta verlengsnoer,1,17-12-29 23:14,17-12-29 23:14
177,177,1,6,17-12-12 0:00,40,6.67,Hema foto's,1,17-12-29 23:14,17-12-29 23:14
178,178,1,6,17-12-12 0:00,25.32,4.22,overheerlijke pasta met kk veel biefstuk,1,17-12-29 23:14,17-12-29 23:14
179,179,1,6,17-12-13 0:00,3.09,0.52,Shampoo,1,17-12-29 23:14,17-12-29 23:14
180,180,1,3,17-12-15 0:00,9.27,4.64,"ballen, spruiten en puree",1,17-12-29 23:14,17-12-29 23:14
181,181,1,3,17-12-17 0:00,13.05,2.18,"uien knoflook, mayo, mosterden, olie",1,17-12-29 23:14,17-12-29 23:14
182,182,1,3,17-12-17 0:00,16.74,5.58,caesar salad wraps,1,17-12-29 23:14,17-12-29 23:14
183,183,1,2,17-12-18 0:00,60,10,schnat (dwappie niet gepaald),1,17-12-29 23:14,17-12-29 23:14
184,184,1,1,17-12-18 0:00,8.73,4.37,pizza,1,17-12-29 23:14,17-12-29 23:14
185,185,1,1,17-12-15 0:00,20.95,6.98,Mac,1,17-12-29 23:14,17-12-29 23:14
186,186,1,3,17-12-20 0:00,11.76,1.96,"boter, ui, finish blokken",1,17-12-29 23:14,17-12-29 23:14
187,187,1,3,17-12-20 0:00,9.57,4.79,biefstuk + gegrilde groente,1,17-12-29 23:14,17-12-29 23:14
188,188,1,1,17-12-29 0:00,1,0.17,Netflix verhoging,1,17-12-29 23:14,17-12-29 23:14
189,189,1,2,17-12-29 0:00,8.68,1.45,Verrekening pre-HJ,1,17-12-29 23:14,17-12-29 23:14
190,190,1,1,17-12-29 0:00,52.76,8.79,Verrekening pre-HJ,1,17-12-29 23:14,17-12-29 23:14
191,191,1,3,17-12-29 0:00,-16.96,-2.83,Verrekening pre-HJ,1,17-12-29 23:14,17-12-29 23:14
192,192,1,4,17-12-29 0:00,17.32,2.89,Verrekening pre-HJ,1,17-12-29 23:14,17-12-29 23:14
193,193,1,5,17-12-29 0:00,-61.79,-10.3,Verrekening pre-HJ,1,17-12-29 23:14,17-12-29 23:14
